pictureFormat;width;height;pixelCount;totalSizeInBytes;cpuTine;memory
PNG;640;426;272640;6543360;36468750000;33272663264
BMP;1920;1280;2457600;58982400;42218750000;38260569656
BMP;1920;1280;2457600;58982400;3968750000;3241644528
PNG;5184;3456;17915904;429981696;17875000000;12141954952
BMP;1920;1280;2457600;58982400;34875000000;31247342040
PNG;640;426;272640;6543360;42281250000;38292331976
BMP;1280;853;1091840;26204160;42312500000;38474440280
BMP;1280;853;1091840;26204160;42359375000;38565494488
PNG;1280;853;1091840;26204160;41968750000;37841430552
BMP;5184;3456;17915904;429981696;32687500000;29915920728
PNG;1920;1280;2457600;58982400;47234375000;44352673656
BMP;1920;1280;2457600;58982400;19781250000;14885475592
BMP;640;426;272640;6543360;47062500000;44224880680
BMP;640;426;272640;6543360;19156250000;14118208480
BMP;640;426;272640;6543360;2187500000;1563064120
BMP;640;426;272640;6543360;36625000000;33493813624
JPEG;960;639;613440;14722560;31546875000;28100869632
PNG;1920;1280;2457600;58982400;44406250000;41739709744
JPEG;960;639;613440;14722560;22687500000;19879627560
PNG;5184;3456;17915904;429981696;41796875000;37782965712
JPEG;960;639;613440;14722560;44468750000;41774583416
PNG;1920;1280;2457600;58982400;9234375000;7480167336
PNG;5184;3456;17915904;429981696;13437500000;8772585376
PNG;640;426;272640;6543360;31312500000;27938199536
JPEG;960;639;613440;14722560;20687500000;16598238920
BMP;1920;1280;2457600;58982400;8531250000;7112233280
BMP;1920;1280;2457600;58982400;19296875000;14316441312
BMP;1920;1280;2457600;58982400;32796875000;30114153624
BMP;1280;853;1091840;26204160;31890625000;28420386648
BMP;5184;3456;17915904;429981696;39812500000;36658605816
PNG;1920;1280;2457600;58982400;5046875000;3700633104
PNG;1920;1280;2457600;58982400;31546875000;28081873464
BMP;1280;853;1091840;26204160;42046875000;37948365480
JPEG;960;639;613440;14722560;19562500000;14505135160
BMP;1280;853;1091840;26204160;39859375000;36749659968
BMP;5184;3456;17915904;429981696;22250000000;19674374536
PNG;5184;3456;17915904;429981696;15406250000;9730457728
PNG;640;426;272640;6543360;26125000000;23083442296
BMP;1920;1280;2457600;58982400;19921875000;15083708232
PNG;1920;1280;2457600;58982400;35093750000;31375135016
PNG;640;426;272640;6543360;48296875000;46192848856
BMP;640;426;272640;6543360;9234375000;7503084160
BMP;1280;853;1091840;26204160;21453125000;18181951568
BMP;5184;3456;17915904;429981696;20625000000;16560249928
BMP;1280;853;1091840;26204160;8000000000;6855535688
BMP;1280;853;1091840;26204160;38609375000;34538815808
PNG;5184;3456;17915904;429981696;34687500000;31049109144
PNG;1920;1280;2457600;58982400;19546875000;14463226096
BMP;1280;853;1091840;26204160;42281250000;38383386128
PNG;1920;1280;2457600;58982400;18125000000;12269747672
PNG;1280;853;1091840;26204160;31828125000;28329332320
PNG;5184;3456;17915904;429981696;38562500000;34447761408
BMP;640;426;272640;6543360;31546875000;28142837968
BMP;5184;3456;17915904;429981696;31281250000;27922318376
PNG;1920;1280;2457600;58982400;10171875000;7746575904
JPEG;960;639;613440;14722560;22906250000;20014874704
BMP;1920;1280;2457600;58982400;25859375000;22881303128
JPEG;960;639;613440;14722560;20671875000;16579241800
BMP;640;426;272640;6543360;375000000;44342344
BMP;5184;3456;17915904;429981696;6437500000;5180976072
PNG;640;426;272640;6543360;47046875000;44201962704
BMP;640;426;272640;6543360;13468750000;8795502392
PNG;1280;853;1091840;26204160;22828125000;19976890256
BMP;5184;3456;17915904;429981696;2015625000;1520895192
BMP;1280;853;1091840;26204160;42093750000;38062336760
PNG;5184;3456;17915904;429981696;25609375000;22484837280
PNG;640;426;272640;6543360;6703125000;5287940112
BMP;5184;3456;17915904;429981696;30640625000;26445776424
PNG;640;426;272640;6543360;22703125000;19895508336
BMP;5184;3456;17915904;429981696;43062500000;40042036248
PNG;1280;853;1091840;26204160;8312500000;6914000464
BMP;640;426;272640;6543360;22703125000;19918425416
JPEG;960;639;613440;14722560;9515625000;7579925832
JPEG;960;639;613440;14722560;31546875000;28119861760
BMP;5184;3456;17915904;429981696;48000000000;45920269760
BMP;5184;3456;17915904;429981696;3765625000;3043411832
BMP;640;426;272640;6543360;19078125000;13897058600
BMP;640;426;272640;6543360;19546875000;14486143112
PNG;640;426;272640;6543360;42265625000;38276450816
PNG;1280;853;1091840;26204160;22375000000;19732839120
BMP;1280;853;1091840;26204160;4375000000;3553848056
PNG;1280;853;1091840;26204160;48093750000;45978734600
JPEG;960;639;613440;14722560;4437500000;3572840120
JPEG;960;639;613440;14722560;9390625000;7560933656
BMP;1280;853;1091840;26204160;6531250000;5272029776
PNG;1920;1280;2457600;58982400;31718750000;28270867672
PNG;1280;853;1091840;26204160;38781250000;34613161808
BMP;1280;853;1091840;26204160;10265625000;7837629992
BMP;1920;1280;2457600;58982400;25734375000;22683070232
BMP;1920;1280;2457600;58982400;39187500000;35182064056
JPEG;960;639;613440;14722560;39953125000;36827117128
BMP;5184;3456;17915904;429981696;7859375000;6764481808
PNG;640;426;272640;6543360;42015625000;37857311520
PNG;640;426;272640;6543360;38640625000;34554696968
BMP;1280;853;1091840;26204160;19640625000;14687243144
BMP;1280;853;1091840;26204160;47296875000;44443728000
JPEG;960;639;613440;14722560;43093750000;40061028568
BMP;640;426;272640;6543360;4312500000;3462794104
PNG;5184;3456;17915904;429981696;29812500000;24953353504
PNG;1920;1280;2457600;58982400;35453125000;31561392832
BMP;1280;853;1091840;26204160;38875000000;34727133232
BMP;5184;3456;17915904;429981696;16046875000;11206999616
BMP;5184;3456;17915904;429981696;44125000000;41611916520
BMP;640;426;272640;6543360;9562500000;7602902168
PNG;640;426;272640;6543360;43109375000;40076909920
PNG;1280;853;1091840;26204160;43171875000;40135374568
PNG;640;426;272640;6543360;9593750000;7618783072
BMP;1920;1280;2457600;58982400;36609375000;33470896352
BMP;5184;3456;17915904;429981696;21421875000;18074780424
BMP;5184;3456;17915904;429981696;19078125000;13874082264
BMP;1920;1280;2457600;58982400;48234375000;46176967520
BMP;640;426;272640;6543360;8718750000;7352374808
PNG;640;426;272640;6543360;44453125000;41755590904
JPEG;960;639;613440;14722560;19312500000;14335433376
PNG;1920;1280;2457600;58982400;26078125000;23009096104
PNG;1920;1280;2457600;58982400;18359375000;12397540392
JPEG;960;639;613440;14722560;8562500000;7131225152
JPEG;960;639;613440;14722560;31906250000;28439378776
PNG;1920;1280;2457600;58982400;36437500000;33256782104
BMP;5184;3456;17915904;429981696;23890625000;21549881688
BMP;640;426;272640;6543360;42062500000;37971282608
BMP;1920;1280;2457600;58982400;4281250000;3439877280
JPEG;960;639;613440;14722560;36656250000;33512805928
PNG;1280;853;1091840;26204160;39937500000;36808124616
BMP;1920;1280;2457600;58982400;38953125000;34925366128
PNG;640;426;272640;6543360;9343750000;7541941400
PNG;640;426;272640;6543360;156250000;21308248
PNG;1280;853;1091840;26204160;35203125000;31433599856
JPEG;960;639;613440;14722560;39968750000;36846109640
PNG;640;426;272640;6543360;21437500000;18090661136
BMP;5184;3456;17915904;429981696;47046875000;44186081544
PNG;640;426;272640;6543360;21468750000;18197832664
JPEG;960;639;613440;14722560;22906250000;19995882384
PNG;640;426;272640;6543360;29828125000;24969234664
BMP;640;426;272640;6543360;9281250000;7526060496
PNG;5184;3456;17915904;429981696;28296875000;24018397776
JPEG;960;639;613440;14722560;2109375000;1540145264
BMP;1280;853;1091840;26204160;19578125000;14596189248
BMP;1280;853;1091840;26204160;36234375000;33128989128
BMP;1920;1280;2457600;58982400;19140625000;14095291272
PNG;1280;853;1091840;26204160;23046875000;20073339544
PNG;1280;853;1091840;26204160;26125000000;23067560944
PNG;1920;1280;2457600;58982400;22687500000;19860631648
PNG;1280;853;1091840;26204160;39062500000;34983831160
BMP;1920;1280;2457600;58982400;8718750000;7329457984
BMP;640;426;272640;6543360;38812500000;34636079080
BMP;5184;3456;17915904;429981696;48937500000;47669307888
PNG;640;426;272640;6543360;31328125000;27954080680
BMP;5184;3456;17915904;429981696;36203125000;33037934976
PNG;5184;3456;17915904;429981696;46375000000;42709539040
