pictureFormat;width;height;pixelCount;totalSizeInBytes;cpuTine;memory;requestCount
PNG;1920;1280;2457600;58982400;20531250000;10622306008;38
BMP;1920;1280;2457600;58982400;44687500000;31612966344;149
BMP;1920;1280;2457600;58982400;21359375000;11172525392;48
PNG;5184;3456;17915904;429981696;7203125000;3331682704;6
PNG;640;426;272640;6543360;29812500000;21187510640;111
BMP;1920;1280;2457600;58982400;13453125000;6987318008;25
BMP;640;426;272640;6543360;20796875000;10737079792;40
BMP;5184;3456;17915904;429981696;27921875000;20174391896;103
BMP;1920;1280;2457600;58982400;21187500000;10968779312;43
BMP;640;426;272640;6543360;17718750000;8689245160;32
PNG;5184;3456;17915904;429981696;33187500000;23913701248;121
PNG;640;426;272640;6543360;42703125000;29532792304;142
BMP;5184;3456;17915904;429981696;24765625000;14871254696;75
BMP;640;426;272640;6543360;35140625000;25788193424;127
BMP;640;426;272640;6543360;24500000000;13939869696;74
PNG;1920;1280;2457600;58982400;47578125000;33359399168;154
PNG;640;426;272640;6543360;2390625000;893106744;3
BMP;1280;853;1091840;26204160;17687500000;8674614800;31
PNG;640;426;272640;6543360;11468750000;5995203272;17
PNG;1920;1280;2457600;58982400;21640625000;11483180832;57
JPEG;960;639;613440;14722560;21187500000;10976061000;44
PNG;1920;1280;2457600;58982400;51531250000;37785361600;181
BMP;640;426;272640;6543360;37078125000;26780904448;131
BMP;1920;1280;2457600;58982400;31421875000;23071419184;118
PNG;640;426;272640;6543360;51546875000;37811009696;183
BMP;640;426;272640;6543360;23171875000;12294670920;60
JPEG;960;639;613440;14722560;51421875000;37619980000;178
BMP;5184;3456;17915904;429981696;31390625000;22936113048;116
PNG;5184;3456;17915904;429981696;9437500000;5147088024;12
BMP;5184;3456;17915904;429981696;26859375000;18855703544;89
BMP;1920;1280;2457600;58982400;44640625000;31488751256;148
PNG;1920;1280;2457600;58982400;23750000000;12769495400;70
PNG;1280;853;1091840;26204160;27187500000;19065503968;96
PNG;1920;1280;2457600;58982400;47906250000;33862803624;165
JPEG;960;639;613440;14722560;33203125000;23920982808;122
PNG;1920;1280;2457600;58982400;37718750000;27088796424;135
PNG;640;426;272640;6543360;29937500000;21242039088;113
